62494,Workshop - Build,Build a Workshop,Backyard Workshop Builders,FALSE,FALSE,0,,"workshop, shop, work, shed",Build Wrkshop,"Either custom, a kit built onsite or a ready-made unit brought in by truck & installed on-site. This refers to modest sized units suitable for a suburban back yard. Note separate category for full-sized outbuildings like those found on a farm.","Includes pre-fab, kit & custom built models.",HS,Find local contractors to Build a Backyard Workshop.  HomeAdvisor will connect you with prescreened and customer-rated contractors in your area.,Workshop Builders <city> <statecode> | Add a Backyard Workshop Shed,,37,4,FALSE,5,0,,,0,N,Workshop Shed Construction,-1,Workshop - Build,Describe Your Workshop Project,Workshop-Build,2,"workshop, shed, garage, work",12063,9068,FALSE,FALSE,FALSE,2019-07-28 08:09:17.155650+0000,2019-07-30 13:19:09 UTC,10254_62494_0_15,17
40156,Land Surveyor,Survey Property,Land Surveyors,FALSE,TRUE,0,142,Architect architects engineer evaluate survey,Land Surveyor,Surveyors work from official land records & clues on the site to establish the exact size of a property as well as the exact location of boundaries with other properties. Often used when property is sold or when fences & walls are being planned.,Establish exact size & location of boundaries.,HS,Find local contractors to Survey Property.  HomeAdvisor will connect you with prescreened and customer-rated contractors in your area,<city> <statecode> Land Surveyor | <city> Property Survey | Survey Land,,5,3,FALSE,0,0,,,0,N,Land Surveyor,-1,Land Surveyor,Describe Your Land Surveyor Need,Land-Surveyor,3,"Architect,architects,engineer,evaluate,survey,surveyors,local,surveying,inspector,evaluator,inspect,hiring,hire,engineering,architecture,Surveyor,Land",12005,466,FALSE,FALSE,FALSE,2019-07-28 08:06:00.416547+0000,2019-07-30 12:48:08 UTC,10002_40156_0_3,371
40207,Demolition,Demolish and Remove Structures,Demolition Contractors,FALSE,TRUE,0,1005,Demolish Structure Structures building pool,Demolition,"Typically a demolition or salvage company. Many builders & remodelers will remove the old before building the new, but this category is for firms that will handle the removal of the old as a stand-alone project.",Used even when not involved in the re-building project.,HS,Find local contractors to Demolish and Remove Structures.  HomeAdvisor will connect you with prescreened and customer-rated contractors in your area,House & Building Demolition Contractors <city> <statecode>,,18,4,FALSE,0,0,,,0,N,Demolition,-1,Demolition,Describe Your Demolition Project,Demolition,3,"Demolish,Structure,Structures,building,pool,Demolition",12018,514,FALSE,FALSE,FALSE,2019-07-28 08:06:00.840250+0000,2019-07-30 12:48:12 UTC,10002_40207_0_6,371
40216,Permit Service,Obtain Building Permits,Construction Permit Services,FALSE,TRUE,0,1100,Permit construction building,Permit Service,These firms are expediters who use familiarity with local procedures & codes along with runners to facilitate the procurement of building permits.,Service bureau that helps obtain building permits.,HS,Find local contractors to Obtain Building Permits.  HomeAdvisor will connect you with prescreened and customer-rated contractors in your area,Construction & Building Permits <city> <statecode> | Obtain a Permit,,57,3,FALSE,0,0,,,0,N,Permit Service,-1,Permit Service,Describe Your Permit Service Need,Permit-Service,1,"Permit,construction,building",12056,523,FALSE,FALSE,FALSE,2019-07-28 08:06:01.904759+0000,2019-07-30 12:48:35 UTC,10002_40216_0_11,371
40322,"Landscape - Soil, Sand, Mulch and Rock Delivery","Deliver Soil, Sand, Mulch and Rock","Mulch, Soil & Sand Delivery Pros",FALSE,TRUE,0,226,"Landscape Soil Sand yard landscaping, Mulch","Deliver Top Soil, Mulch, Rock","For gardens or as a base for seeding or sod, construction, beaches, play areas. Typically dumped on or near driveway. Others would have to spread or distribute to the desired locations. See the landscape maintenance or planting categories for a company that could both arrange for delivery & handle the spreading work.","Bring a truck load of soil, sand, mulch or rock to the property.",HS,"Find local contractors to Deliver Soil, Sand and Rock.  HomeAdvisor will connect you with prescreened and customer-rated contractors in your area",<city> <statecode> Mulch & Soil Delivery | Sand & Rock Delivery,,47,3,FALSE,5,0,,,0,N,"Soil, Sand, Mulch and rock Delivery",-1,"Landscape - Soil, Sand, Mulch and Rock Delivery",Describe Your Landscape Project,Landscape-Soil-Sand-and-Rock-Delivery,1,"drop, off, drop-off, dropoff, soil, sand, rock, mulch, gravel",12046,619,FALSE,FALSE,FALSE,2019-07-28 08:06:03.042890+0000,2019-07-30 12:48:36 UTC,10002_40322_0_10,371
40324,Landscape - Minor Grading or Resloping,Grade or Reslope Grounds for Landscaping,Grading Contractors,FALSE,TRUE,0,149,Grade Land Grading Reslope back,Grading,"Typically done immediately after initial construction, in response to a drainage problem or in preparation for a radical re-landscaping project",Alter the terrain to improve drainage or aesthetics.,HS,Find local contractors to Grade or Reslope Grounds for Landscaping.  HomeAdvisor will connect you with prescreened and customer-rated contractors in your area,Grading Contractors <city> <statecode> | Landscape Sloping - HomeAdvisor,,47,3,FALSE,5,0,,,0,N,Minor Grading or Resloping,-1,Landscape - Minor Grading or Resloping,Describe Your Landscape Project,Landscape-Minor-Grading-or-Resloping,2,"Grade,Land,Grading,Reslope,back,backyard,front,lawn,landscapers,draining,drainage,architects,architect,pool, irrigation",12046,621,FALSE,FALSE,FALSE,2019-07-28 08:06:03.841973+0000,2019-07-30 12:49:25 UTC,10002_40324_0_9,371
40375,"Waste, Junk, Building Materials and Debris - Remove and Haul","Haul Waste, Junk, Debris and Building Materials to the Dump",Waste & Junk Removal Services,FALSE,TRUE,0,261,Building rock property Waste Dump,Trash Removal,"Get rid of appliances, building materials, trash, junk, landscape debris, etc.","Get rid of appliances, building materials, trash, junk, landscape debris, etc.",HS,"Find local contractors to Haul Waste, Junk, Debris and Building Materials to the Dump.  HomeAdvisor will connect you with prescreened and customer-rated contractors in your area",Waste & Junk Removal <city> <statecode> | Trash & Garbage Removal Companies,,81,3,FALSE,5,0,,,0,N,"Remove & Haul Waste, Junk, Debris, etc.",-1,"Waste, Junk, Building Materials and Debris - Remove and Haul",Describe Your Waste & Junk Removal Project,Waste-Junk-Building-Materials-and-Debris-Remove-and-Haul,1,"Building,rock,property,Waste,Dump,Junk,Haul,Removal,trash,site,Clean,UP,construction,job,debris,Materials",12076,669,FALSE,FALSE,FALSE,2019-07-28 08:06:04.305346+0000,2019-07-30 12:50:22 UTC,10002_40375_0_4,145
62658,Automatic Electric Gate - Install or Replace,Install an Electric Gate,Electric Gate Contractors,FALSE,FALSE,0,,"gate, electric, automatic, security",Inst Elec Gate,,"Usually metal, often automatic-opening gates for security.",HS,Find local contractors to Install or Replace an Electric Gate.  HomeAdvisor will connect you with prescreened and customer-rated contractors in your area.,Automatic Gate Installation <city> <statecode> | Electric Gate Contractors,,30,4,FALSE,5,0,,,0,N,Automatic Gate Installation,-1,Automatic Electric Gate - Install or Replace,Describe Your Electric Gate Project,Automatic-Electric-Gate-Install,2,"gate, electric, automatic, security",12030,9360,FALSE,FALSE,FALSE,2019-07-28 08:12:32.858139+0000,2019-07-30 13:19:13 UTC,10309_62658_0_5,156
40462,Storm Windows - Install or Replace,Storm Windows - Install or Replace,Storm Window Installers,FALSE,TRUE,0,4213,Glass Window Need Broken wood,Inst Storm Windows,"While very popular in the past, many people are now going to multi-paned replacement windows instead.",To reduce energy usage.,HS,Find local contractors to Install or Replace Storm Windows.  HomeAdvisor will connect you with prescreened and customer-rated contractors in your area,Storm Window Replacement <city> <statecode> | Install Storm Windows,,22,3,FALSE,0,39794,"Note: If your repair is not very complex or you have a variety of small projects, you might consider ",requesting a Handyman.,1437,Y,Storm Windows Install,46355,Storm Windows - Install or Replace,Describe Your Window Project,Windows-Storm-Install-or-Replace,2,"Glass,Window,Broken,thermal,casement,basement,Storm,efficient,energy",12080,752,FALSE,FALSE,FALSE,2019-07-28 08:10:08.530669+0000,2019-07-30 13:19:14 UTC,10276_40462_0_3,33
40046,"Tile: Natural Stone (Granite, Marble, Slate, Quartz, etc) - Install",Install Natural Stone Tile,Natural Stone Tile Installation Companies,FALSE,FALSE,0,392,Stone Natural Slate Marble Granite,Install Stone Tile,"Installation or complete replacement tile on bars, countertops, vanities, mantels, hearths, walls & floors.","Install new or replace marble, sandstone, slate, granite tile, etc.",HS,Find local contractors to Install Natural Stone Tile.  HomeAdvisor will connect you with prescreened and customer-rated contractors in your area,"Marble, Granite & Slate Tile Installation <city> <statecode> | Natural Stone Tile Install",,74,4,FALSE,4,0,,,0,N,Natural Stone Tile Install,-1,"Tile: Natural Stone (Granite, Marble, Slate, Quartz, etc) - Install",Describe Your Stone Tile Project,Natural-Stone-Tile-Marble-Install,2,"Stone,Natural,Slate,Marble,Granite,Tile,Quartz,porcelain,flooring,floor,clean,ceramic,brick,tiles,mosaic, top,counter, countertops",12073,370,FALSE,FALSE,FALSE,2019-07-28 08:06:07.059693+0000,2019-07-28 14:25:14.291043+0000,10162_40046_0_3,539
