122965,Todd's Remodeling & Repair,General Contractors;Altering & Remodeling Contractors;Building Contractors;Deck Cleaning & Treatment;Home Improvements;Home Repair & Maintenance;Kitchen Planning & Remodeling Service;Siding Contractors,,,https://www.yellowpages.com/chehalis-wa/mip/todds-remodeling-repair-535412409?lid=1001865915162,"317 W Washington St, Chehalis, WA 98532",(360) 262-6190,"We do kitchen and bath remodeling, full remodeling service. We also do decks, rot repair, siding, windows, interior and exterior trim and so much more! Proudly serving the community for 20+ years, give us a call today for a free inspection and estimate!",ntn.toad@gmail.com,360-262-6190
106846,R & R Foundation Specialist,Foundation Contractors;Bathroom Remodeling;Building Contractors;General Contractors;Kitchen Planning & Remodeling Service,https://rrspecialists.com,,https://www.yellowpages.com/monroe-wa/mip/r-r-foundation-specialist-472999995?lid=1001920441967,"125 E Main St Ste 205, Monroe, WA 98272",(425) 760-5077,Our concrete specialists have worked on home foundations in need of various repairs throughout Western Washington.,info@rrspecialist.net,425-760-5077
13974,Ash Construction,General Contractors;Painting Contractors;Roofing Contractors,,,https://www.yellowpages.com/port-orchard-wa/mip/ash-construction-463122117,"2665 Harbor Heights Ln E, Port Orchard, WA 98366",(360) 731-8183,,,360-731-8183
5528,AGUILAR'S DRYWALL,General Contractors;Building Contractors;Drywall Contractors,,,https://www.yellowpages.com/pasco-wa/mip/aguilars-drywall-547753284?lid=1002004413184,"562 N Feed Lot Rd, Pasco, WA 99301",(509) 302-8602,"For over 10 years,Aguilar's Drywall, has been providing the residential and commercial clients of Tri Cities area with quality & service you can trust. We provide you with accurate bids on your estimate for drywall costs and construction. We have been in the forefront of innovation by utilizing top-quality products. Visit our website or Call today for your free estimate!",samuelaguilarmartinez89@gmail.com,509-302-8602
48513,Foreman Construction,Construction Management;Bathroom Remodeling;Building Construction Consultants;Building Contractors;Concrete Contractors;Construction Consultants;Excavation Contractors;General Contractors;Kitchen Planning & Remodeling Service;Road Building Contractors,,,https://www.yellowpages.com/ford-wa/mip/foreman-construction-492661883,"7736 Jeanne Street Way, Ford, WA 99013",(509) 954-5841,,formanconstruction53@yahoo.com,509-954-5841
61441,Ideal construction,General Contractors;Building Construction Consultants;Building Contractors;Building Contractors-Commercial & Industrial;Building Maintenance;Home Builders;Roofing Contractors;Roofing Services Consultants;Siding Contractors,,,https://www.yellowpages.com/kelso-wa/mip/ideal-construction-546701751,"1310 Elm Pl, Kelso, WA 98626",(360) 957-4405,,,360-957-4405
128671,VV STUCCO & MASONRY,General Contractors;Building Contractors;Masonry Contractors;Siding Contractors;Siding Materials;Stucco & Exterior Coating Contractors;Stucco Manufacturers & Distributors,https://go.thryv.com/site/vvstucco,,https://www.yellowpages.com/renton-wa/mip/vv-stucco-masonry-546433927?lid=1002004441503,"17320 121st Ln SE Apt Ss202, Renton, WA 98058",(206) 992-3674,"At VV Stucco & Masonry, LLC, we pride our company on reliability, great communication, integrity, and quality work. We strongly believe in giving our absolute best in all our projects no matter how big or small. We are experts in our trade, and will always keep you educated on your task or project. We look forward to earning your business!",galinacherkashina@hotmail.com,206-992-3674
89435,Bath Planet,General Contractors;Altering & Remodeling Contractors;Bath Equipment & Supplies;Bathroom Remodeling;Bathtubs & Sinks-Repair & Refinish;Building Contractors;Home Decor;Home Improvements;Home Repair & Maintenance;Housewares;Kitchen Planning & Remodeling Service;Shower Doors & Enclosures,http://www.bathplanet.com/seattle,,https://www.yellowpages.com/kent-wa/mip/bath-planet-481159045?lid=1001982815095,"19115 68th Ave S, Kent, WA 98032",(253) 246-7906,"Welcome to Bath Planet 
  
Bath Planet has set a new standard of both quality and affordability within the bathroom remodeling industry. With a wide selection of acrylic bath system solutions, along with cutting edge accessible options, you can have a beautiful yet accommodating bathroom in as little as one day. Learn more about our remodeling solutions. 
Our Bathroom Wall Surround will Improve your Mood & your Bank Account 
 
 
 
 
 
It baffles me when I walk into someones home and everything is beautifully updated, EXCEPT the bathroom(s.) The truth of the matter is that so many homeowners are deathly afraid of doing work in the bathrooms. Even the simplest of updates. So each and every day, they step into their bathtub or shower and it is awful! You know what Im talking about. Full of mold and cracks and impossible to remove age and grime! If your bathroom needs a facelift, maybe just a little Botox, STOP putting it off. Gone are the days when updating your bathrooms takes weeks and weeks to complete. 
  
Here at Bath Planet, we are proud of our reputation as a company that makes bathroom remodeling painless and affordable! Weve earned our reputation by only putting our name on the highest quality products and by offering fair and honest pricing. If you have cracks or even impossible to remove mold and grime, you should look at updating your bath system, with our high quality Bathroom Wall Surround. Our high quality product will turn your dreary, dated bathroom, into an up-to-date showstopper bathroom. Its that easy! 
 We offer a complete line of both quality and affordable acrylic bath system solutions, including our Bathroom Wall Surround that are not only gorgeous but affordable. Weve built our reputation by offering high quality products made from an extremely thick acrylic. We also have hands down the BEST installers and designers in the industry. 
  
If you have a problem bathroom you absolutely owe it to yourself to update it. Not just for your enjoyment purposes, but because its a really smart investment. Sprucing up your bathroom will give you a huge return on investment (ROI). Research shows you can get back around 80% of what you put in! 
  
The good news is that with Bath Planet, we can take any of your bathroom remodeling ideas and use them to transform your bathroom into a gorgeous, showstopper bathroom in one day! We believe in the quality of our products and in our work so much that we back it with a lifetime warranty for as long as you own your home. Thats the Bath Planet difference.",,253-246-7906
63285,Island Hammer,General Contractors;Altering & Remodeling Contractors;Bathroom Remodeling;Building Construction Consultants;Building Contractors;Building Specialties;Kitchen Planning & Remodeling Service;Plumbers,http://www.islandhammer.com,5,https://www.yellowpages.com/poulsbo-wa/mip/island-hammer-4665420,"19910 Viking Ave NW Ste B, Poulsbo, WA 98370",(360) 697-9434,,,360-697-9434
4859,AERP Construction & Consulting LLC,Building Construction Consultants;Building Contractors;Construction Consultants;General Contractors;Home Improvements;Home Repair & Maintenance;Roofing Contractors,https://aerpconstruction.com,,https://www.yellowpages.com/tenino-wa/mip/aerp-construction-consulting-llc-542515268?lid=1001827958258,"19841 Steelhead Ct SE, Tenino, WA 98589",(360) 960-1759,"Since 1998, AERP Construction has been committed to projects just like yours. Our company was founded by two separate companies that over time became one.  Since that merger we have blossomed, one single person owner/operator construction company and single person consulting green company to become one of the largest, most respected and trusted general contractors. satisfied clients can attest to our successful track record of safety, timely completion, cost savings and quality of our projects.Our foundation is our people. Many of the skilled craftsmen working with us today, promote and reward creativity and responsiveness within our organization. Our contractors are not only passionate about the project theyre working on; they are invested in each other and the company. These are just a few of the reasons that we are successful. As a result, our clients find us as team players fully committed to their project. We all win and that is our goal.Our company specs: Passion. Excellence. Service. Loving what we do is a natural function of our inner equation. Providing superior contracting services, which in turn promote the best interest of our clients, its essential. AERP Construction regularly makes value-added planning, scheduling and construction recommendations that solve challenges and save our clients Thousands or even millions of dollars on firm issues that effect the completion process. Education, research into new construction process are part of our equation, as we produce internal quality checks and provide safety meetings and standards that must be committed to by all contractor. Maintaining a strong financial position and bonding capacity. We are clear about our total service package, including our Start-to-Finish planning process, which results in a complete and timely finish.",aerpconstruction@gmail.com,360-960-1759
81127,Serious Construction,"General Contractors;Altering & Remodeling Contractors;Building Specialties;Carpenters;Deck Builders;Fence Materials;Fence-Sales, Service & Contractors;Gazebos;Home Builders;Siding Contractors;Stair Builders",,,https://www.yellowpages.com/mckenna-wa/mip/serious-construction-463204787,"Mckenna, WA 98558",(253) 405-8801,,info@mecklenburgllc.com,253-405-8801
32018,Coultas General Contracting,General Contractors;Bathroom Remodeling;Construction Consultants;Home Builders;Kitchen Planning & Remodeling Service,https://coultasgeneralcontracting.com,,https://www.yellowpages.com/poulsbo-wa/mip/coultas-general-contracting-26469857,"5390 NE Fox Glove Ln, Poulsbo, WA 98370",(360) 697-2878,,rob@coultasgeneralcontracting.com,360-697-2878
106846,R & R Foundation Specialist,Foundation Contractors;Bathroom Remodeling;Building Contractors;General Contractors;Kitchen Planning & Remodeling Service,https://rrspecialists.com,,https://www.yellowpages.com/monroe-wa/mip/r-r-foundation-specialist-472999995?lid=1001920262113,"125 E Main St Ste 205, Monroe, WA 98272",(425) 760-5077,Our concrete specialists have worked on home foundations in need of various repairs throughout Western Washington.,info@rrspecialist.net,425-760-5077
95079,PINE FRAMING/CONSTRUCTION LLC,"General Contractors;Building Contractors;Carpenters;Deck Builders;Doors, Frames, & Accessories;Home Builders;Home Repair & Maintenance;Patio Builders;Windows-Repair, Replacement & Installation",,,https://www.yellowpages.com/burlington-wa/mip/pine-framing-construction-llc-549498068?lid=1002004523787,"Burlington, WA 98233",(360) 826-7622,"Framing, siding, construction, building structures 
Residential and commercial 
Licensed bonded and insured 
Locally owned and operated 
Serving Snohomish County, Skagit County and surrounding areas 
 
Framing; siding; construction; building structures; deck building; window installation; door installation",juanmorales@noemail.com,360-826-7622
